id	code	name	type	descp	record_time
237	601016	节能风电	1		2015-11-15 19:57:33
238	601015	陕西黑猫	1		2015-11-15 19:57:33
239	601012	隆基股份	1		2015-11-15 19:57:33
240	601011	宝泰隆	1		2015-11-15 19:57:33
241	601010	文峰股份	1		2015-11-15 19:57:33
242	601009	南京银行	1		2015-11-15 19:57:33
243	601008	连云港	1		2015-11-15 19:57:33
244	601007	金陵饭店	1		2015-11-15 19:57:33
245	601006	大秦铁路	1		2015-11-15 19:57:33
246	601005	重庆钢铁	1		2015-11-15 19:57:33
247	601003	柳钢股份	1		2015-11-15 19:57:33
248	601002	晋亿实业	1		2015-11-15 19:57:33
249	601001	大同煤业	1		2015-11-15 19:57:33
250	601000	唐山港	1		2015-11-15 19:57:33
251	600999	招商证券	1		2015-11-15 19:57:33
252	600998	九州通	1		2015-11-15 19:57:33
253	600997	开滦股份	1		2015-11-15 19:57:33
254	600995	文山电力	1		2015-11-15 19:57:33
255	600993	马应龙	1		2015-11-15 19:57:33
256	600992	贵绳股份	1		2015-11-15 19:57:33
257	600990	四创电子	1		2015-11-15 19:57:33
258	600988	赤峰黄金	1		2015-11-15 19:57:33
259	600987	航民股份	1		2015-11-15 19:57:33
260	600986	科达股份	1		2015-11-15 19:57:33
261	600985	雷鸣科化	1		2015-11-15 19:57:33
262	600984	建设机械	1		2015-11-15 19:57:33
263	600983	惠而浦	1		2015-11-15 19:57:33
264	600982	宁波热电	1		2015-11-15 19:57:33
265	600981	汇鸿股份	1		2015-11-15 19:57:33
266	600980	北矿磁材	1		2015-11-15 19:57:33
267	600979	广安爱众	1		2015-11-15 19:57:33
268	600978	宜华木业	1		2015-11-15 19:57:33
269	600976	健民集团	1		2015-11-15 19:57:33
270	600975	新五丰	1		2015-11-15 19:57:33
271	600973	宝胜股份	1		2015-11-15 19:57:33
272	600971	恒源煤电	1		2015-11-15 19:57:33
273	600970	中材国际	1		2015-11-15 19:57:33
274	600969	郴电国际	1		2015-11-15 19:57:33
275	600967	北方创业	1		2015-11-15 19:57:33
276	600966	博汇纸业	1		2015-11-15 19:57:33
277	600965	福成五丰	1		2015-11-15 19:57:33
278	600963	岳阳林纸	1		2015-11-15 19:57:33
279	600962	国投中鲁	1		2015-11-15 19:57:33
280	600961	株冶集团	1		2015-11-15 19:57:33
281	600960	渤海活塞	1		2015-11-15 19:57:33
282	600917	重庆燃气	1		2015-11-15 19:57:33
283	600900	长江电力	1		2015-11-15 19:57:33
284	600898	三联商社	1		2015-11-15 19:57:33
285	600897	厦门空港	1		2015-11-15 19:57:33
286	600896	中海海盛	1		2015-11-15 19:57:33
287	600895	张江高科	1		2015-11-15 19:57:33
288	600894	广日股份	1		2015-11-15 19:57:33
289	600893	航空动力	1		2015-11-15 19:57:33
290	600892	宝诚股份	1		2015-11-15 19:57:33
291	600891	秋林集团	1		2015-11-15 19:57:33
292	600890	中房股份	1		2015-11-15 19:57:33
293	600889	南京化纤	1		2015-11-15 19:57:33
294	600888	新疆众和	1		2015-11-15 19:57:33
295	600887	伊利股份	1		2015-11-15 19:57:33
296	600886	国投电力	1		2015-11-15 19:57:33
297	600885	宏发股份	1		2015-11-15 19:57:33
298	600884	杉杉股份	1		2015-11-15 19:57:33
299	600883	博闻科技	1		2015-11-15 19:57:33
300	600882	华联矿业	1		2015-11-15 19:57:33
301	600881	亚泰集团	1		2015-11-15 19:57:33
302	600880	博瑞传播	1		2015-11-15 19:57:33
303	600879	航天电子	1		2015-11-15 19:57:33
304	600877	中国嘉陵	1		2015-11-15 19:57:33
305	600876	洛阳玻璃	1		2015-11-15 19:57:33
306	600875	东方电气	1		2015-11-15 19:57:33
307	600874	创业环保	1		2015-11-15 19:57:33
308	600873	梅花生物	1		2015-11-15 19:57:33
309	600872	中炬高新	1		2015-11-15 19:57:33
310	600871	仪化	1		2015-11-15 19:57:33
311	600870	厦华电子	1		2015-11-15 19:57:33
312	600869	智慧能源	1		2015-11-15 19:57:33
313	600868	梅雁吉祥	1		2015-11-15 19:57:33
314	600867	通化东宝	1		2015-11-15 19:57:33
315	600866	星湖科技	1		2015-11-15 19:57:33
316	600865	百大集团	1		2015-11-15 19:57:33
317	600864	哈投股份	1		2015-11-15 19:57:33
318	600863	内蒙华电	1		2015-11-15 19:57:33
319	600862	南通科技	1		2015-11-15 19:57:33
320	600861	北京城乡	1		2015-11-15 19:57:33
